x,alpha,rho,p,sd11,sd12,sd13,sd21,sd22,sd23,sd31,sd32,sd33,rho_mix,p_mix,te_mix,s11,s12,vx,vy,v_mix,amr,xi
0.00025,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00075,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00125,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00175,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00225,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00275,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00325,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00375,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00425,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00475,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00525,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00575,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00625,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00675,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00725,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00775,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00825,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00875,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00925,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.00975,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01025,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01075,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01125,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01175,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01225,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01275,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01325,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01375,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01425,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
0.01475,1,2700,100000,1,0,0,0,1,0,0,0,1,2700,100000,1.13E+07,-100000,0,0,-100,100,0,0
