x,alpha,rho,p,sd11,sd12,sd13,sd21,sd22,sd23,sd31,sd32,sd33,rho_mix,p_mix,te_mix,s11,s12,vx,vy,v_mix,amr,xi
0.0005,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0015,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0025,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0035,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0045,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0055,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0065,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0075,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0085,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0095,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0105,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0115,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0125,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0135,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0145,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0155,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0165,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0175,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0185,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0195,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0205,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0215,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
